rnos;denominacion;tipo;id_tipo
208;OBRA SOCIAL DEL  PERSONAL DE LA INDUSTRIA GRAFICA DE LA PROVINCIA DE CORDOBA;OSN;2
307;OBRA SOCIAL PORTUARIOS ARGENTINOS DE MAR DEL PLATA;OSN;2
406;OBRA SOCIAL DEL PERSONAL DEL ORGANISMO DE CONTROL EXTERNO;OSN;2
505;OBRA SOCIAL DE CAPITANES, PILOTOS Y PATRONES DE PESCA;OSN;2
604;OBRA SOCIAL DE AGENTES DE LOTERIAS Y AFINES DE LA REPUBLICA  ARGENTINA;OSN;2
703;MUTUAL DEL PERSONAL DEL AGUA Y LA ENERGIA  DE MENDOZA;OSN;2
901;OBRA SOCIAL DE LA ACTIVIDAD DE SEGUROS, REASEGUROS, CAPITALIZACION Y AHORRO Y PRESTAMO PARA LA VIVIENDA;OSN;2
1102;OBRA SOCIAL PARA LA ACTIVIDAD DOCENTE;OSN;2
1201;OBRA SOCIAL PARA EL PERSONAL DEL MINISTERIO DE ECONOMIA Y DE OBRAS Y SERVICIOS PUBLICOS;OSN;2
1300;OBRA SOCIAL FERROVIARIA;OSN;2
1508;OBRA SOCIAL DE LA ASOCIACION CIVIL PROSINDICATO DE AMAS DE CASA DE LA REPUBLICA ARGENTINA;OSN;2
1607;OBRA SOCIAL DEL SINDICATO UNIDO DE TRABAJADORES DE LA INDUSTRIA DE AGUAS GASEOSAS DE LA PROVINCIA DE SANTA FE;OSN;2
1706;OBRA SOCIAL DEL PERSONAL JERARQUICO DE LA REPUBLICA ARGENTINA PARA EL PERSONAL JERARQUICO DE LA INDUSTRIA GRAFICA Y EL PERSONAL JERARQUICO DEL AGUA Y LA ENERGIA;OSN;2
1805;OBRA SOCIAL DE LOS  LEGISLADORES DE LA REPUBLICA ARGENTINA;OSN;2
1904;OBRA SOCIAL DE LA FEDERACION DE CAMARAS Y CENTROS COMERCIALES ZONALES DE LA REPUBLICA ARGENTINA (FEDECAMARAS);OSN;2
2105;OBRA SOCIAL PROFESIONALES DEL TURF DE LA REPUBLICA ARGENTINA;OSN;2
2204;OBRA SOCIAL DE EMPLEADOS Y PERSONAL JERARQUICO  DE LA ACTIVIDAD DEL  NEUMATICO ARGENTINO DE NEUMATICOS GOOD YEAR SRL;OSN;2
2303;OBRA SOCIAL PARA EL  PERSONAL DE EMPRESAS DE  LIMPIEZA, SERVICIOS Y MAESTRANZA DE MENDOZA;OSN;2
2402;OBRA SOCIAL DEL PERSONAL JERARQUICO DEL TRANSPORTE AUTOMOTOR DE PASAJEROS DE CORDOBA Y AFINES;OSN;2
2501;OBRA SOCIAL DE MINISTROS, SECRETARIOS Y SUBSECRETARIOS;OSN;2
2600;OBRA SOCIAL DE LOS TRABAJADORES DE LA CARNE Y AFINES DE LA REPUBLICA ARGENTINA;OSN;2
2709;OBRA SOCIAL DE LOS TRABAJADORES ASOCIADOS A LA ASOCIACION MUTUAL MERCANTIL ARGENTINA;OSN;2
2808;OBRA SOCIAL DE LA CAMARA DE EMPRESARIOS DE AGENCIAS DE REMISES DE ARGENTINA;OSN;2
2907;OBRA SOCIAL ASOCIACION MUTUAL METALURGICA VILLA CONSTITUCION;OSN;2
3009;OBRA SOCIAL DEL PERSONAL ASOCIADO A ASOCIACION MUTUAL SANCOR;OSN;2
3108;OBRA SOCIAL DE LOS INMIGRANTES ESPAÃ‘OLES Y SUS DESCENDIENTES RESIDENTES EN LA REPUBLICA ARGENTINA;OSN;2
3207;OBRA SOCIAL DE TRABAJADORES SOCIOS DE LA ASOCIACION MUTUAL DEL PERSONAL JERARQUICO DE BANCOS OFICIALES NACIONALES-JERARQUICOS SALUD-;OSN;2
3306;OBRA SOCIAL DE TRABAJADORES VENDEDORES DE DIARIOS REVISTAS Y AFINES;OSN;2
3405;OBRA SOCIAL ASOCIACION  MUTUAL DE LOS OBREROS CATOLICOS PADRE FEDERICO GROTE;OSN;2
3504;OBRA SOCIAL DE CONDUCTORES TITULARES DE TAXIS DE LA CIUDAD AUTONOMA DE BUENOS AIRES;OSN;2
3603;OBRA SOCIAL PROGRAMAS MEDICOS SOCIEDAD ARGENTINA DE CONSULTORIA MUTUAL;OSN;2
3702;OBRA SOCIAL  YACIMIENTOS CARBONIFEROS;OSN;2
3801;OBRA SOCIAL DE DIRECCION WITCEL;OSN;2
100106;OBRA SOCIAL PARA EL PERSONAL DE LA INDUSTRIA ACEITERA, DESMOTADORA Y AFINES;OSN;2
100205;OBRA SOCIAL DE ACTORES                                                                                                                                                                                  ;OSN;2
100304;OBRA SOCIAL DE TECNICOS DE VUELO DE LINEAS AEREAS;OSN;2
100403;OBRA SOCIAL DEL PERSONAL SUPERIOR Y PROFESIONAL DE EMPRESAS AEROCOMERCIALES;OSN;2
100502;OBRA SOCIAL DEL PERSONAL AERONAUTICO                                                                                                                                                                    ;OSN;2
100601;OBRA SOCIAL DEL PERSONAL DE AERONAVEGACION DE ENTES PRIVADOS;OSN;2
100700;OBRA SOCIAL DEL PERSONAL TECNICO AERONAUTICO                                                                                                                                                            ;OSN;2
100809;OBRA SOCIAL DE AERONAVEGANTES;OSN;2
100908;OBRA SOCIAL  EMPLEADOS DE AGENCIAS DE INFORMES                                                                                                                                                          ;OSN;2
101000;OBRA SOCIAL DEL PERSONAL DE AGUAS GASEOSAS Y AFINES;OSN;2
101109;OBRA SOCIAL DE ALFAJOREROS, REPOSTEROS, PIZZEROS Y HELADEROS                                                                                                                                            ;OSN;2
101208;OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DE LA ALIMENTACION;OSN;2
101604;OBRA SOCIAL DEL PERSONAL DEL AUTOMOVIL  CLUB ARGENTINO                                                                                                                                                  ;OSN;2
101802;OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO LA ESPERANZA;OSN;2
101901;OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO LEDESMA                                                                                                                                                 ;OSN;2
102300;OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO SAN MARTIN;OSN;2
102706;OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA AZUCARERA                                                                                                                                                      ;OSN;2
102904;OBRA SOCIAL DEL PERSONAL DE BARRACAS DE LANAS, CUEROS Y ANEXOS;OSN;2
103006;OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA BOTONERA                                                                                                                                                       ;OSN;2
103105;OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CALZADO;OSN;2
103204;OBRA SOCIAL DE CONDUCTORES CAMIONEROS Y PERSONAL DEL TRANSPORTE AUTOMOTOR DE CARGAS                                                                                                                     ;OSN;2
103402;OBRA SOCIAL DEL PERSONAL DE CARGA Y DESCARGA;OSN;2
103600;OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICULARES                                                                                                                                                 ;OSN;2
103709;OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CAUCHO;OSN;2
103808;OBRA SOCIAL DEL PERSONAL DEL CAUCHO                                                                                                                                                                     ;OSN;2
103907;OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CAUCHO DE SANTA FE;OSN;2
104009;OBRA SOCIAL DEL PERSONAL DE CEMENTERIOS DE LA REPUBLICA ARGENTINA.                                                                                                                                      ;OSN;2
104108;OBRA SOCIAL DE CERAMISTAS;OSN;2
104207;OBRA SOCIAL DEL PERSONAL DE LA CERAMICA, SANITARIOS, PORCELANA DE MESA Y AFINES                                                                                                                         ;OSN;2
104306;OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD CERVECERA Y AFINES;OSN;2
104405;OBRA SOCIAL DEL PERSONAL CINEMATOGRAFICO DE MAR DEL PLATA                                                                                                                                               ;OSN;2
104504;OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA CINEMATOGRAFICA;OSN;2
104603;OBRA SOCIAL DE OPERADORES CINEMATOGRAFICOS                                                                                                                                                              ;OSN;2
104801;OBRA SOCIAL DE COLOCADORES DE AZULEJOS, MOSAICOS, GRANITEROS, LUSTRADORES Y PORCELANEROS;OSN;2
105002;OBRA SOCIAL DE CONDUCTORES NAVALES                                                                                                                                                                      ;OSN;2
105309;OBRA SOCIAL DEL PERSONAL ADMINISTRATIVO Y TECNICO DE LA CONSTRUCCION Y AFINES;OSN;2
